,timestamp,gender,age,experience,company_type,is_it_industry,occupation,current_roles,issues_with_non_dev,issues_with_dev,collaboration_feedback,use_service_intent,reason_for_intent,selected_roles,issues_with_dev_comms,collaboration_ideas,service_usage_intent,reason_for_usage_intent
0,2025/01/10 5:06:47 오후 GMT+9,남성,20대,1년 미만,스타트업,예,개발자 (데이터·인프라 직군 포함),Back-end 개발자;Front-end 개발자,개발 업무에 대한 이해 부족으로 소통이 어렵다.,기술적 용어 차이로 인해 소통이 어렵다.,,예,도움될거같아서,,,,,
1,2025/01/10 5:22:21 오후 GMT+9,남성,20대,1년~3년,중소기업,예,개발자 (데이터·인프라 직군 포함),Back-end 개발자,개발 업무에 대한 이해 부족으로 소통이 어렵다.;기술적 용어를 설명하는 데 어려움을 겪는다.;요구사항이 불명확하여 업무가 지연된다.,업무 우선순위가 달라 갈등이 생긴다.;타 개발환경에 대한 이해도가 부족하다.,협업을 위해선 서로 개발 비개발 직군에 대한 이해도를 높이도록 이해해가며 노력해나가기,예,"타 개발 직군이 어떤 용어를 주로 사용하고, 환경을 어떻게 구성해가는지 이해할 수 있다면 실제 개발할 때 도움이 될 거 같다.",,,,,
2,2025/01/10 5:23:07 오후 GMT+9,남성,20대,1년~3년,대기업,아니오,개발자 (데이터·인프라 직군 포함),시스템 엔지니어,요구사항이 불명확하여 업무가 지연된다.,기술적 용어 차이로 인해 소통이 어렵다.;업무 우선순위가 달라 갈등이 생긴다.,"듣는 사람의 수준을 고려한 의견 전달이 필요하고, 협업을 위해 타분야에 대한 이해도를 높이는 과정이 중요하다고 생각합니다",예,소프트웨어 분야의 트렌드를 익히고 배경 지식을 쌓아두는 역량은 모든 산업 분야에서 중요한 역량이라고 생각합니다.,,,,,
3,2025/01/10 5:28:12 오후 GMT+9,남성,30대,1년~3년,스타트업,예,개발자 (데이터·인프라 직군 포함),Back-end 개발자;Front-end 개발자,기술적 용어를 설명하는 데 어려움을 겪는다.;요구사항이 불명확하여 업무가 지연된다.,기술적 용어 차이로 인해 소통이 어렵다.;타 개발환경에 대한 이해도가 부족하다.,용어를 사용할 때 서로가 이해할 수 있는 정확한 용어를 사용하면 소통간 오해가 줄어들거라 생각합니다.,예,특히 비 개발 직군과 대화를 할 때 이해를 돕기 위한 적절한 단어 / 비유를 찾는 것에 신경을 쓰는 편인데 개발 용어를 사용했을 때 이해할 정도만 되어도 서로에게 굉장히 도움이 될 거 같아요.,,,,,
4,2025/01/10 5:32:27 오후 GMT+9,여성,20대,1년~3년,중소기업,아니오,개발자 (데이터·인프라 직군 포함),Front-end 개발자,개발 업무에 대한 이해 부족으로 소통이 어렵다.;요구사항이 불명확하여 업무가 지연된다.,타 개발환경에 대한 이해도가 부족하다.,비개발직군 분들이 개발 업무에 대한 이해도를 높이고 업무를 전달해줬으면 좋겠습니다,예,"백이나 통합인프라 부분이랑 협업할 일은 많은데, 그쪽에 대한 용어 지식은 별로 없습니다 근데 또 그부분을 공부하고 싶지는 않아서 간단하게 알 수 있으면 좋을 것 같습니다",,,,,
5,2025/01/10 5:32:57 오후 GMT+9,남성,20대,1년 미만,대기업,예,개발자 (데이터·인프라 직군 포함),인프라 엔지니어,개발 업무에 대한 이해 부족으로 소통이 어렵다.;기술적 용어를 설명하는 데 어려움을 겪는다.;요구사항이 불명확하여 업무가 지연된다.;업무 진행 속도와 기대치가 달라 협업이 어려워진다.,타 개발환경에 대한 이해도가 부족하다.,"회사의 비즈니스가 어떤 업종인가에 따라 많이 달라지는 것 같습니다.
IT 업종의 경우엔 비개발직군 또한 업무 성향 때문에 회사에서 교육을 많이 해주는 것 때문에 소통이 나름 잘 되는 것 같습니다. 그 외에 업종에선 경험해보진 않았지만 그러한 체계가 부족한 것 같습니다.
회사 차원에서 서로를 이해할 수 있도록 체계화된 교육이 필요할 것 같습니다.",예,위에 답변으로 설명이 될 것 같습니다.,,,,,
6,2025/01/10 5:37:08 오후 GMT+9,남성,30대,1년 미만,중소기업,아니오,비개발자,,,,,,,기획자,어려움을 겪지 않는다.,,아니오,⁶ㅛ
7,2025/01/10 5:37:26 오후 GMT+9,여성,40대,5년 이상,프리랜서,예,비개발자,,,,,,,기획자,기술적 문제 해결 시 의견 충돌이 발생한다.;업무 우선순위가 달라 갈등이 생긴다.,기획자나 개발자나 프로덕트 or 프로세스 전체를 보는 눈이 필요함. ,아니오,"학습 내용이 뭔지 모르겠지만 저는 학습할 필요는 없는 수준임. 
그리고 학습을 하려면 비슷한 레벨의 멤버로 구성하고 시니어 한둘이 포함되어야 도움이 될듯 "
8,2025/01/10 5:39:22 오후 GMT+9,남성,20대,1년 미만,대기업,예,개발자 (데이터·인프라 직군 포함),Back-end 개발자;데이터 엔지니어,개발 업무에 대한 이해 부족으로 소통이 어렵다.;기술적 용어를 설명하는 데 어려움을 겪는다.,기술적 문제 해결 시 의견 충돌이 발생한다.;업무 우선순위가 달라 갈등이 생긴다.,,예,출근할때 잠깐 들으면 좋을거같다,,,,,
9,2025/01/10 5:41:14 오후 GMT+9,남성,30대,1년~3년,대기업,아니오,개발자 (데이터·인프라 직군 포함),임베디드 개발자,업무 진행 속도와 기대치가 달라 협업이 어려워진다.,어려움을 겪지 않는다.;Role의 명확화가 필요,"각 팀의 role을 명확히 하고, 이슈 발생시 미리미리 이야기 해준다",예,It 용어 및 문법은 많이 알수록 좋기때문에,,,,,
10,2025/01/10 5:43:31 오후 GMT+9,남성,20대,1년 미만,대기업,예,개발자 (데이터·인프라 직군 포함),인프라 엔지니어,개발 업무에 대한 이해 부족으로 소통이 어렵다.;기술적 용어를 설명하는 데 어려움을 겪는다.;요구사항이 불명확하여 업무가 지연된다.,타 개발환경에 대한 이해도가 부족하다.,,예,짧은 시간이라,,,,,
11,2025/01/10 5:43:58 오후 GMT+9,여성,20대,3년~5년,중견기업,예,개발자 (데이터·인프라 직군 포함),Back-end 개발자,개발 업무에 대한 이해 부족으로 소통이 어렵다.;업무 진행 속도와 기대치가 달라 협업이 어려워진다.,기술적 문제 해결 시 의견 충돌이 발생한다.,,예,협업이 원활하게 이루어지면 작업 생산성을 높이는데 도움이 될 듯 하여 선택했습니다.,,,,,
12,2025/01/10 6:13:15 오후 GMT+9,남성,20대,1년~3년,중견기업,예,개발자 (데이터·인프라 직군 포함),Back-end 개발자,어려움을 겪지 않는다.,업무 우선순위가 달라 갈등이 생긴다.,,예,정확히 어떤걸 제공하느냐에 따라 조금 다를것 같습니다!,,,,,
13,2025/01/10 6:15:58 오후 GMT+9,남성,20대,1년~3년,대기업,예,비개발자,,,,,,,보안,기술적 용어 차이로 인해 소통이 어렵다.;기술적 문제 해결 시 의견 충돌이 발생한다.;업무 우선순위가 달라 갈등이 생긴다.;협업 도구 사용에 대한 이해도가 부족하다.,관련 장비 설명 가이드라인,예,관련 내용에 대한 문제를 알 수 있어서
14,2025/01/10 6:22:00 오후 GMT+9,남성,20대,1년~3년,대기업,예,개발자 (데이터·인프라 직군 포함),Back-end 개발자,개발 업무에 대한 이해 부족으로 소통이 어렵다.;기술적 용어를 설명하는 데 어려움을 겪는다.,어려움을 겪지 않는다.,,예,결국 일은 같이 해야 하기 때문입니다,,,,,
15,2025/01/10 6:24:08 오후 GMT+9,여성,20대,1년 미만,중견기업,예,개발자 (데이터·인프라 직군 포함),Back-end 개발자,개발 업무에 대한 이해 부족으로 소통이 어렵다.;기술적 용어를 설명하는 데 어려움을 겪는다.;업무 진행 속도와 기대치가 달라 협업이 어려워진다.,어려움을 겪지 않는다.,,예,다른 분야의 개발은 모르니까,,,,,
16,2025/01/10 6:40:47 오후 GMT+9,여성,20대,1년 미만,대기업,예,비개발자,,,,,,,디자이너,기술적 용어 차이로 인해 소통이 어렵다.;기술적 문제 해결 시 의견 충돌이 발생한다.,,예,5분은 시간적으로 부담이 되지 않는 시간이라 사용해볼 수 있을 것 같습니다.
17,2025/01/10 7:30:51 오후 GMT+9,남성,20대,1년 미만,대기업,예,개발자 (데이터·인프라 직군 포함),Front-end 개발자,요구사항이 불명확하여 업무가 지연된다.;업무 진행 속도와 기대치가 달라 협업이 어려워진다.,타 개발환경에 대한 이해도가 부족하다.,,예,지하철 등에서 틈틈히 공부할 때 좋을 것 같습니다.,,,,,
18,2025/01/10 8:38:10 오후 GMT+9,남성,50대,5년 이상,프리랜서,예,개발자 (데이터·인프라 직군 포함),Back-end 개발자;DevOps 엔지니어;소프트웨어 개발자,개발 업무에 대한 이해 부족으로 소통이 어렵다.;기술적 용어를 설명하는 데 어려움을 겪는다.;요구사항이 불명확하여 업무가 지연된다.,기술적 용어 차이로 인해 소통이 어렵다.;기술적 문제 해결 시 의견 충돌이 발생한다.;업무 우선순위가 달라 갈등이 생긴다.;타 개발환경에 대한 이해도가 부족하다.,자유롭게 소통하며 업무를 진행하는 것이 바람직하나 지식과 역량의 차이 및 이해 관계에 얽혀 있어 현실적으로 어려움이 있습니다. 결국 원활한 업무 진행을 위해서 중간에서 의사 소통을 도와주는 역할이 중요합니다. ,아니오,어떤 서비스인지 구체적으로 제안해 주시면 감사하겠습니다.,,,,,
19,2025/01/10 9:13:52 오후 GMT+9,여성,20대,1년 미만,중소기업,예,개발자 (데이터·인프라 직군 포함),데이터 분석가,요구사항이 불명확하여 업무가 지연된다.;업무 진행 속도와 기대치가 달라 협업이 어려워진다.,업무 우선순위가 달라 갈등이 생긴다.,,예,지식은 알면 알수록 좋으니까~~,,,,,
20,2025/01/10 9:16:47 오후 GMT+9,여성,20대,1년~3년,중견기업,아니오,개발자 (데이터·인프라 직군 포함),데이터 분석가;AI 엔지니어,개발 업무에 대한 이해 부족으로 소통이 어렵다.;기술적 용어를 설명하는 데 어려움을 겪는다.,기술적 문제 해결 시 의견 충돌이 발생한다.;업무 우선순위가 달라 갈등이 생긴다.,,아니오,개발 직군이라 큰 소통이 필요없습니다,,,,,
21,2025/01/10 9:19:23 오후 GMT+9,여성,20대,1년~3년,중견기업,예,개발자 (데이터·인프라 직군 포함),데이터 분석가;소프트웨어 개발자,개발 업무에 대한 이해 부족으로 소통이 어렵다.;요구사항이 불명확하여 업무가 지연된다.,기술적 문제 해결 시 의견 충돌이 발생한다.;타 개발환경에 대한 이해도가 부족하다.,"비개발 직군 측에서 요구사항을 정확하게 전달해주면, 개발자는 비개발 직군이 이해 가능하도록 불가능한 것과 가능한 방향에 대해 논의한다.",아니오,5분 동안 공부가 될까 싶어요! 오히려 미루게 될 것 같아요,,,,,
22,2025/01/10 10:09:37 오후 GMT+9,남성,20대,1년~3년,대기업,예,개발자 (데이터·인프라 직군 포함),정보 보안 전문가,개발 업무에 대한 이해 부족으로 소통이 어렵다.;기술적 용어를 설명하는 데 어려움을 겪는다.;요구사항이 불명확하여 업무가 지연된다.;업무 진행 속도와 기대치가 달라 협업이 어려워진다.,기술적 용어 차이로 인해 소통이 어렵다.;기술적 문제 해결 시 의견 충돌이 발생한다.;타 개발환경에 대한 이해도가 부족하다.,관련 가이드라인 제공,예,소통 방법을 이해가능,,,,,
23,2025/01/10 10:29:02 오후 GMT+9,여성,20대,1년 미만,중소기업,예,개발자 (데이터·인프라 직군 포함),데이터 엔지니어,기술적 용어를 설명하는 데 어려움을 겪는다.;요구사항이 불명확하여 업무가 지연된다.,기술적 문제 해결 시 의견 충돌이 발생한다.;타 개발환경에 대한 이해도가 부족하다.,,예,타 개발 직군의 용어나 지식을 배우면서 업무에 대한 이해를 높여 협업 스킬을 올리는 데에 도움이 될 것 같습니다.,,,,,
24,2025/01/11 7:33:22 오후 GMT+9,남성,20대,1년 미만,중견기업,예,개발자 (데이터·인프라 직군 포함),클라우드 엔지니어,요구사항이 불명확하여 업무가 지연된다.;업무 진행 속도와 기대치가 달라 협업이 어려워진다.,업무 우선순위가 달라 갈등이 생긴다.;타 개발환경에 대한 이해도가 부족하다.,,아니오,몇 번하다 안 할 듯 합니다,,,,,
25,2025/01/11 9:22:21 오후 GMT+9,여성,20대,1년~3년,스타트업,예,개발자 (데이터·인프라 직군 포함),Front-end 개발자,개발 업무에 대한 이해 부족으로 소통이 어렵다.,기술적 문제 해결 시 의견 충돌이 발생한다.,"먼저 기획, 디자인, 개발이 각각 분리된 것이 아니라 서로 연결된 것이라는 사고방식이 필요한 것 같습니다. 소프트웨어 설계 방법론 중에는 도메인 주도 설계(Domain Driven Design)라는 것이 있는데, 이 방법론은 소프트웨어의 구조가 실제 제품의 구조와 닮아 있어야 한다고 주장합니다. 이렇게 소프트웨어를 설계하면 개발 직군과 비개발 직군의 소통이 보다 쉬워지며, 개발 과정이 처음부터 보다 자연스럽게 전체 제품 개발의 일부로 녹아들 수 있다는 장점이 있습니다. 

직군 간의 협업을 편리하게 해 주는 도구를 적극적으로 찾아보거나 직접 만드는 것에 대해서도 생각해 볼 수 있습니다. 디자인과 개발 간의 연결 지점을 예시로 들자면 토스 디자인 시스템(TDS)을 생각해볼 수 있습니다. TDS는 디자이너와 개발자 간의 협업을 간편하게 만든 사례로 유명합니다. 개발자가 디자이너의 시안을 보고 개발 시 일일이 똑같이 따라 만드는 것이 아니라, 디자이너의 작업물을 그대로 코드로 가져와 반영할 수 있도록 했기 때문입니다. 피그마(Figma)와 같은 툴 또한 대표적인 사례입니다. 

그리고 서로의 업무에 대한 이해 부족으로 의견 충돌이 발생했다면 충분히 대화를 하며 의견을 조율할 수 있는 시간이 중요할 것 같습니다. 예를 들어 개발 직군에서 거의 필수적으로 사용하는 Github이라는 툴에는 코드 리뷰(code review)라는 과정이 있는데, 이 과정은 다른 개발자가 작성한 코드를 서로 검토하고 개선점이나 발전 사항을 제시하는 과정으로 개발 사이클에서 필수적인 부분입니다. 개발 직군 내에서뿐만 아니라 서로 다른 직군 간에도 이러한 의견 조율의 과정을 부수적인 것이 아니라 제품 개발의 한 과정으로 이해하면 좋지 않을까 합니다. 

참고
도메인 주도 설계(DDD): https://velog.io/@gowjr207/%EB%8F%84%EB%A9%94%EC%9D%B8-%EC%A3%BC%EB%8F%84-%EC%84%A4%EA%B3%84DDD%EB%A5%BC-%EC%84%A4%EB%AA%85%ED%95%B4%EB%B3%B4%EB%8B%A4
토스 디자인 시스템: https://m.youtube.com/watch?v=pfKuEuufgdc
코드 리뷰: https://github.com/meshkorea/front-end-engineering/blob/main/conventions/code-review/index.md",아니오,"개발자와 비개발자 간의 소통의 어려움은 IT 관련 개념의 이해 부족 자체보다는 개발과 기획, 혹은 개발과 디자인 직군 간의 업무 방식의 차이에서 온다고 생각하기 때문입니다. 이를 개선하기 위해서는 도메인의 층위에서 서로의 업무 방식을 동기화하거나 서로 자주자주 피드백을 주고받는 것이 더 중요하다고 느껴집니다. 
기획 중이신 서비스도 당연히 많은 도움이 되겠지만!! 저는 개인적으로 이러한 것들이 선행되어야 근본적인 문제가 해결될 수 있다고 생각합니다. ☺️",,,,,
26,2025/01/12 12:21:31 오전 GMT+9,남성,20대,1년~3년,중소기업,예,개발자 (데이터·인프라 직군 포함),Back-end 개발자;Front-end 개발자,개발 업무에 대한 이해 부족으로 소통이 어렵다.,기술적 문제 해결 시 의견 충돌이 발생한다.,,예,성장에 도움이 된다,,,,,
27,2025/01/12 8:19:01 오전 GMT+9,남성,20대,1년~3년,스타트업,예,비개발자,,,,,,,기획자;마케터;프로덕트 매니저 (Product Manager);영업,업무 우선순위가 달라 갈등이 생긴다.,"기획자 또는 영업직은 클라이언트와의 이해관계가 깊기에, 의뢰자의 요구에 따라 개발 과정 도중 프로덕트 수정, 피보팅에 대한 압박에 빈번히 노출됩니다.

개인적 노하우로는 이러한 변칙적인 상황에 대처하기 위해 개괄적인 로드맵을 구성할 때 변동성 또는 유동성이 높은 파트가 무엇인지 초기에 파악, 이를 후순위에 최대한 배치하는 방식으로 대처하고 있습니다.

하지만 개발자와 기획자 모두가 애자일하게 개발할 수 있다고 동의할 수 있는 커먼그라운드를 찾는 것은 각 파트간의 업무 특성 상 근본적인 어려움이 항시 있습니다.

따라서 이러한 상호합의를 이끌어내는 과정에서 양측 모두 양보했다 또는 손해봤다라는 기분이 들지 않고, 타협점을 찾아냈다고 만족할 수 있는 협업을 위한 기본적인 상호이해를 위한 기본지식이 필요하다고 판단됩니다.",예,"상기한 이유를 바탕으로, 인하우스 팀이 아닌 경우 프로젝트 단위마다 변화하는 팀빌딩에서 항상 반복되는 고충이기 때문입니다.

물론 이를 위해 PM을 별도로 팀에 배치하는 것이 이상적이지만, 소규모 기업체 또는 프로젝트의 경우 기획자 또는 시니어 개발자가 이를 분산시켜 맡는 것이 현실적인 방안이라고 믿습니다.

이를 위해서는 팀 구성원 모두가 소통을 위한 기본적인 배경지식을 갖추어야 한다고 생각합니다."
28,2025/01/12 9:17:37 오전 GMT+9,남성,20대,1년 미만,스타트업,예,개발자 (데이터·인프라 직군 포함),MLOps 엔지니어;데이터 엔지니어,개발 업무에 대한 이해 부족으로 소통이 어렵다.,업무 우선순위가 달라 갈등이 생긴다.;타 개발환경에 대한 이해도가 부족하다.,,예,서로 원활한 소통을 위해,,,,,
29,2025/01/12 11:27:50 오전 GMT+9,여성,20대,3년~5년,중견기업,예,개발자 (데이터·인프라 직군 포함),Back-end 개발자;게임 개발자,기술적 용어를 설명하는 데 어려움을 겪는다.,업무 우선순위가 달라 갈등이 생긴다.,,예,간단하게라도 용어 정리를 꾸준히할 수 잇을 것 같아서,,,,,
30,2025/01/12 11:59:36 오전 GMT+9,여성,20대,3년~5년,대기업,예,개발자 (데이터·인프라 직군 포함),MLOps 엔지니어,업무 진행 속도와 기대치가 달라 협업이 어려워진다.,업무 우선순위가 달라 갈등이 생긴다.,채널의 부재나 채널을 적극 활용할 줄 모르는 문제,아니오,하루 5분 서비스가 뭔지 모르겠어요,,,,,
31,2025/01/12 1:44:22 오후 GMT+9,남성,20대,1년 미만,대학원,예,개발자 (데이터·인프라 직군 포함),AI 엔지니어,개발 업무에 대한 이해 부족으로 소통이 어렵다.;업무 진행 속도와 기대치가 달라 협업이 어려워진다.,업무 우선순위가 달라 갈등이 생긴다.;타 개발환경에 대한 이해도가 부족하다.,경청하는 자세외 책임감이 있어야된다고 생각합니다,예,타직군과 협업시 해당 직군의 이해를 돕기 위하여,,,,,
32,2025/01/12 2:23:06 오후 GMT+9,여성,20대,1년 미만,중견기업,예,개발자 (데이터·인프라 직군 포함),소프트웨어 개발자,개발 업무에 대한 이해 부족으로 소통이 어렵다.;기술적 용어를 설명하는 데 어려움을 겪는다.,업무 우선순위가 달라 갈등이 생긴다.;타 개발환경에 대한 이해도가 부족하다.,,예,"모르는 분야도 어느정도 지식을 갖추고 있어야 서로 간의 이해가 잘 될 것 같음. 그러나 평소 관심있던 분야가 아니라면 매일 보진 않을 것 같고 회의 전에 찾아보지 않을까 생각합니다.
",,,,,
33,2025/01/12 4:59:38 오후 GMT+9,남성,20대,1년 미만,스타트업,예,비개발자,,,,,,,프로젝트 매니저 (Project Manager),기술적 문제 해결 시 의견 충돌이 발생한다.;업무 우선순위가 달라 갈등이 생긴다.,개발자와 비개발자 모두 기술에 대한 이해가 필요하고 비개발자도 어느 정도는 직접 해볼 필요성이 있다고 느낍니다.,예,하루에 5분으로 저런 유용한 지식을 얻을 수 있다면 매우 좋을 것 같습니다.
34,2025/01/12 5:20:12 오후 GMT+9,여성,20대,1년 미만,중견기업,아니오,비개발자,,,,,,,기획자,협업 도구 사용에 대한 이해도가 부족하다.,,예,원활한 업무 진행을 위해 필요함
35,2025/01/12 9:39:28 오후 GMT+9,남성,20대,1년~3년,대기업,예,개발자 (데이터·인프라 직군 포함),인프라 엔지니어,개발 업무에 대한 이해 부족으로 소통이 어렵다.;기술적 용어를 설명하는 데 어려움을 겪는다.,기술적 용어 차이로 인해 소통이 어렵다.;타 개발환경에 대한 이해도가 부족하다.,,아니오,비개발 직군이 받으면 더 좋을 것 같아요.,,,,,
36,2025/01/13 9:00:53 오전 GMT+9,여성,20대,1년 미만,스타트업,아니오,비개발자,,,,,,,기획자,기술적 용어 차이로 인해 소통이 어렵다.;협업 도구 사용에 대한 이해도가 부족하다.,,예,다른 업무를 공부할 정도로 시간이 많지 않아서 개발 업무에 대해 이해할 정도로만 공부할 수 있으면 좋을 것 같긴 합니다.
37,2025/01/13 9:21:08 오전 GMT+9,여성,20대,1년 미만,스타트업,예,개발자 (데이터·인프라 직군 포함),Front-end 개발자;웹 퍼블리셔;소프트웨어 개발자,요구사항이 불명확하여 업무가 지연된다.,기술적 문제 해결 시 의견 충돌이 발생한다.;타 개발환경에 대한 이해도가 부족하다.,,예,출근길에 매일 읽고 싶습니다. 특히 인프라나 CS 관련 지식을 간편하게 제공해 준다면 비전공자 개발자들에게 메리트가 있을 거라고 생각합니다.   ,,,,,
38,2025/01/13 9:34:36 오전 GMT+9,남성,30대,1년 미만,스타트업,예,개발자 (데이터·인프라 직군 포함),DevOps 엔지니어;MLOps 엔지니어;AI 엔지니어,요구사항이 불명확하여 업무가 지연된다.;업무 진행 속도와 기대치가 달라 협업이 어려워진다.,업무 우선순위가 달라 갈등이 생긴다.,이해하고 인정하는 것이 협업과 소통 개선의 시작이 아닌가 싶다.,아니오,굳이..? 소통은 중요한데 일로서만 생각하면 오히려 덜 스트레스 받는 방향이 있다고 생각함.,,,,,
39,2025/01/13 10:33:53 오전 GMT+9,남성,30대,5년 이상,중견기업,예,개발자 (데이터·인프라 직군 포함),Back-end 개발자;Front-end 개발자;DevOps 엔지니어;소프트웨어 개발자,개발 업무에 대한 이해 부족으로 소통이 어렵다.;기술적 용어를 설명하는 데 어려움을 겪는다.,기술적 용어 차이로 인해 소통이 어렵다.;기술적 문제 해결 시 의견 충돌이 발생한다.;업무 우선순위가 달라 갈등이 생긴다.;타 개발환경에 대한 이해도가 부족하다.,비 IT 개발 직군이 IT개발에 대한 지식이 조금이라도 있다면 어렵지 않을 것이라 생각합니다.,예,IT 직군도 IT 상식에 대해 모르는 경우가 많습니다. 공부를 위해 필요하다 생각합니다.,,,,,
40,2025/01/13 10:36:38 오전 GMT+9,여성,30대,1년~3년,중견기업,아니오,비개발자,,,,,,,프로덕트 매니저 (Product Manager),업무 우선순위가 달라 갈등이 생긴다.,,예,IT분야가 계속 변화해서 지속적으로 공부하면 유용할 거 같습니다. 
41,2025/01/13 10:47:06 오전 GMT+9,남성,20대,1년 미만,중견기업,예,비개발자,,,,,,,기획자;프로덕트 매니저 (Product Manager),업무 우선순위가 달라 갈등이 생긴다.,,아니오,기술적인 용어 혹은 기술적 실현 가능성 관련된 문제가 아니라면 해당 서비스가 소통/협업에서의 문제를 해결해주지는 못할 것 같다.
42,2025/01/13 10:55:51 오전 GMT+9,여성,20대,1년 미만,중견기업,아니오,개발자 (데이터·인프라 직군 포함),AI 엔지니어,개발 업무에 대한 이해 부족으로 소통이 어렵다.;기술적 용어를 설명하는 데 어려움을 겪는다.,업무 우선순위가 달라 갈등이 생긴다.;타 개발환경에 대한 이해도가 부족하다.,,예,"백엔드-프론트엔드 간 지식 백그라운드가 다르고, 개발자여도 AI는 모르는 분들이 있을 정도로 IT직군은 직무가 다양하고 그만큼 아는 지식도 나뉩니다. 따라서 교양 수업 듣는 느낌으로 타 직무 지식을 가볍게 다룰 수 있는 서비스가 있다면 업무에 도움이 될 것 같습니다. 무거운 내용보다는 한 번에 술술 읽힐 수 있을 정도로 쉽게 적어주시면 독자가 많을 것 같고, 최신 트렌드 기술 다루어 주셔도 좋을 것 같습니다. ",,,,,
43,2025/01/13 10:56:06 오전 GMT+9,남성,20대,1년~3년,대기업,예,개발자 (데이터·인프라 직군 포함),Back-end 개발자,개발 업무에 대한 이해 부족으로 소통이 어렵다.;요구사항이 불명확하여 업무가 지연된다.,타 개발환경에 대한 이해도가 부족하다.,,아니오,개발직군이다 보니 타 개발직군과의 소통을 위해서는 필요할때 그때그때 검색해볼거 같습니다,,,,,
44,2025/01/13 10:59:52 오전 GMT+9,여성,20대,1년~3년,스타트업,예,개발자 (데이터·인프라 직군 포함),Front-end 개발자,기술적 용어를 설명하는 데 어려움을 겪는다.;요구사항이 불명확하여 업무가 지연된다.,어려움을 겪지 않는다.,,아니오,"어려움이 있긴 하지만, 해결못할 수준의 어려움이 아니라 ""그런 일이 가끔 있지~""정도이고, 그 때마다 해결도 어렵지는 않았습니다.",,,,,
45,2025/01/13 11:46:44 오전 GMT+9,남성,20대,1년~3년,스타트업,예,개발자 (데이터·인프라 직군 포함),데이터 분석가;데이터 사이언티스트;데이터 엔지니어;AI 엔지니어,요구사항이 불명확하여 업무가 지연된다.;업무 진행 속도와 기대치가 달라 협업이 어려워진다.,업무 우선순위가 달라 갈등이 생긴다.,업무의 정의(미션이 정확이 무엇인지)와 그 업무의 당위성에대한 확실한 정의를 선제하고 들어가야합니다,예,기술직렬은 늘 공부를 해야하기 때문,,,,,
46,2025/01/13 2:09:27 오후 GMT+9,여성,30대,3년~5년,스타트업,예,비개발자,,,,,,,프로젝트 매니저 (Project Manager),어려움을 겪지 않는다.,"PM이 개발 지식이 있으면 원활한 소통이 가능합니다.
기능 명세서 하나를 써도 개발 지식이 있는지/없는지는 큰 차이를 보입니다.",아니오,"개발 지식이 있고, 좀 더 심도있게 알기 위해 관련 강의를 수강할 생각은 있으나 짧은 IT 학습으로 심도있는 지식을 습득하기 어려워 보임"
47,2025/01/13 2:29:37 오후 GMT+9,여성,20대,1년~3년,스타트업,예,비개발자,,,,,,,디자이너;프로젝트 매니저 (Project Manager),기술적 용어 차이로 인해 소통이 어렵다.;기술적 문제 해결 시 의견 충돌이 발생한다.;업무 우선순위가 달라 갈등이 생긴다.,,예,"현재 디자이너 겸 PM 직무를 맡고있습니다. 그렇기에 프로젝트의 전체 일정을 결정할 때 고려해야 하는 디자인 프로세스에 대한 이해는 높은 편이지만, 개발에 대한 이해는 비교적 부족합니다. 최대한 소통하며 일정을 조율하고 업무를 분담하려 하지만, 실무 지식이 부족하기에 개발자 분들의 시각에서 생각하기 보단 기존에 진행했던 프로젝트의 데이터를 기반으로 판단을 내려야 하는 경우가 많습니다. 때문에 개발에 대한 기초적인 이해를 다질 수 있는 서비스가 있다면 사용해보고 싶습니다."
48,2025/01/13 2:34:34 오후 GMT+9,여성,20대,1년~3년,중견기업,예,개발자 (데이터·인프라 직군 포함),Back-end 개발자,개발 업무에 대한 이해 부족으로 소통이 어렵다.;기술적 용어를 설명하는 데 어려움을 겪는다.;업무 진행 속도와 기대치가 달라 협업이 어려워진다.,타 개발환경에 대한 이해도가 부족하다.,,예,짧은 시간을 활용해서 공부하는 환경을 만들 수 있을 것 같습니다~,,,,,
